Order_ID,Product_ID,User_ID,Order_Date,Return_Date,Product_Category,Product_Price,Order_Quantity,Return_Reason,Return_Status,Days_to_Return,User_Age,User_Gender,User_Location,Payment_Method,Shipping_Method,Discount_Applied,Return,Return_Probability,Risk_Level
ORD00000002,PROD00000002,USER00000002,2023-05-06,,Toys,390.03,5,No Return,Not Returned,0.0,22,Female,City30,Debit Card,Next-Day,26.64,0,0.5209451139407469,High
ORD00000004,PROD00000004,USER00000004,2023-01-16,,Books,110.09,4,No Return,Not Returned,0.0,34,Female,City80,Gift Card,Standard,16.37,0,0.5208243999952087,High
ORD00000006,PROD00000006,USER00000006,2023-05-29,2023-08-03,Clothing,382.89,2,Wrong item,Returned,66.0,25,Male,City50,Credit Card,Express,28.49,1,0.5125651481052207,High
ORD00000014,PROD00000014,USER00000014,2024-09-01,,Electronics,146.37,4,No Return,Not Returned,0.0,45,Male,City9,PayPal,Next-Day,28.23,0,0.5128802703507824,High
ORD00000015,PROD00000015,USER00000015,2024-10-02,2023-12-04,Electronics,370.08,2,Wrong item,Returned,-303.0,24,Female,City27,Credit Card,Standard,23.99,1,0.5151613887527303,High
ORD00000020,PROD00000020,USER00000020,2023-07-03,,Clothing,6.14,1,No Return,Not Returned,0.0,31,Female,City70,Credit Card,Next-Day,47.47,0,0.5196389607928649,High
ORD00000021,PROD00000021,USER00000021,2024-02-28,2023-01-06,Books,85.69,2,Changed mind,Returned,-418.0,30,Female,City26,Debit Card,Standard,24.58,1,0.5215113051389242,High
ORD00000023,PROD00000023,USER00000023,2024-07-01,2024-01-24,Electronics,57.14,2,Wrong item,Returned,-159.0,41,Female,City28,Gift Card,Standard,43.06,1,0.5146514522617006,High
ORD00000024,PROD00000024,USER00000024,2024-07-27,,Toys,274.29,2,No Return,Not Returned,0.0,18,Male,City84,Gift Card,Express,2.49,0,0.5207661578457196,High
ORD00000026,PROD00000026,USER00000026,2023-03-05,,Toys,232.97,5,No Return,Not Returned,0.0,21,Female,City98,Debit Card,Express,9.85,0,0.5268167116087231,High
ORD00000028,PROD00000028,USER00000028,2024-05-15,2024-09-05,Toys,106.6,5,Defective,Returned,113.0,53,Male,City69,Credit Card,Standard,18.42,1,0.5110129531107199,High
ORD00000031,PROD00000031,USER00000031,2023-12-09,,Electronics,481.73,5,No Return,Not Returned,0.0,28,Female,City79,Credit Card,Next-Day,20.03,0,0.5142011977517472,High
ORD00000033,PROD00000033,USER00000033,2024-02-03,2023-08-18,Home,335.28,4,Wrong item,Returned,-169.0,18,Male,City20,Debit Card,Next-Day,25.37,1,0.5237679498853136,High
ORD00000034,PROD00000034,USER00000034,2023-09-07,,Toys,290.49,3,No Return,Not Returned,0.0,34,Male,City42,PayPal,Next-Day,8.51,0,0.5126060672069608,High
ORD00000036,PROD00000036,USER00000036,2024-01-07,2023-08-29,Electronics,115.82,5,Defective,Returned,-131.0,54,Female,City43,Credit Card,Express,23.76,1,0.5111198879511177,High
ORD00000038,PROD00000038,USER00000038,2023-02-17,,Toys,43.82,2,No Return,Not Returned,0.0,28,Female,City11,Credit Card,Next-Day,14.6,0,0.522377400443869,High
ORD00000042,PROD00000042,USER00000042,2024-02-10,,Books,240.65,2,No Return,Not Returned,0.0,33,Female,City61,Gift Card,Standard,12.93,0,0.5127201549768965,High
ORD00000043,PROD00000043,USER00000043,2024-05-23,2024-06-05,Clothing,105.7,3,Wrong item,Returned,13.0,44,Male,City41,Credit Card,Next-Day,42.07,1,0.5126319253390115,High
ORD00000048,PROD00000048,USER00000048,2024-04-19,2023-11-16,Electronics,344.31,4,Not as described,Returned,-155.0,36,Male,City68,Credit Card,Express,10.99,1,0.5123996712049155,High
ORD00000050,PROD00000050,USER00000050,2023-06-14,2024-07-21,Books,23.6,1,Defective,Returned,403.0,37,Female,City12,Credit Card,Next-Day,6.53,1,0.5136864144683574,High
ORD00000055,PROD00000055,USER00000055,2023-04-30,2023-04-11,Home,352.93,4,Changed mind,Returned,-19.0,34,Male,City31,Gift Card,Express,22.83,1,0.512761219319286,High
ORD00000059,PROD00000059,USER00000059,2023-02-13,,Electronics,16.37,2,No Return,Not Returned,0.0,32,Male,City65,Credit Card,Next-Day,16.08,0,0.5208525850282977,High
ORD00000061,PROD00000061,USER00000061,2024-11-06,,Home,344.6,4,No Return,Not Returned,0.0,28,Female,City80,PayPal,Next-Day,40.95,0,0.5166312195539781,High
ORD00000065,PROD00000065,USER00000065,2023-06-03,2023-09-22,Toys,280.61,2,Defective,Returned,111.0,32,Male,City92,Debit Card,Express,2.34,1,0.5115236041578517,High
ORD00000070,PROD00000070,USER00000070,2024-05-24,2023-06-21,Toys,87.17,4,Defective,Returned,-338.0,46,Female,City50,Gift Card,Express,32.02,1,0.5156782988346543,High
ORD00000071,PROD00000071,USER00000071,2024-08-21,,Toys,312.45,4,No Return,Not Returned,0.0,30,Female,City100,PayPal,Next-Day,33.19,0,0.5164861034791898,High
ORD00000075,PROD00000075,USER00000075,2023-05-08,2024-01-19,Electronics,332.39,5,Not as described,Returned,256.0,36,Male,City53,Debit Card,Next-Day,24.31,1,0.5132376800176512,High
ORD00000076,PROD00000076,USER00000076,2023-05-30,,Electronics,139.6,5,No Return,Not Returned,0.0,34,Male,City24,PayPal,Standard,13.87,0,0.5220028919214555,High
ORD00000077,PROD00000077,USER00000077,2023-04-09,2024-01-21,Books,185.34,2,Not as described,Returned,287.0,31,Female,City34,PayPal,Standard,36.01,1,0.5145900892561065,High
ORD00000078,PROD00000078,USER00000078,2023-05-07,2024-08-10,Toys,64.29,2,Not as described,Returned,461.0,39,Male,City57,Debit Card,Express,47.4,1,0.5130230483210673,High
ORD00000081,PROD00000081,USER00000081,2024-03-21,2023-09-13,Clothing,429.47,5,Defective,Returned,-190.0,39,Male,City10,Gift Card,Standard,44.36,1,0.510023922400571,High
ORD00000083,PROD00000083,USER00000083,2023-06-08,2024-10-23,Electronics,52.19,1,Not as described,Returned,503.0,21,Female,City100,Debit Card,Standard,35.14,1,0.5220908464684094,High
ORD00000087,PROD00000087,USER00000087,2023-08-03,,Books,478.47,4,No Return,Not Returned,0.0,22,Female,City71,PayPal,Standard,9.06,0,0.5158116528183027,High
ORD00000088,PROD00000088,USER00000088,2023-12-12,2023-09-27,Electronics,78.94,2,Changed mind,Returned,-76.0,23,Female,City1,Credit Card,Express,49.94,1,0.5245754738202398,High
ORD00000091,PROD00000091,USER00000091,2024-12-25,2024-08-11,Toys,99.21,1,Not as described,Returned,-136.0,29,Female,City17,PayPal,Next-Day,30.21,1,0.5183143964346956,High
ORD00000098,PROD00000098,USER00000098,2024-02-21,,Clothing,434.25,5,No Return,Not Returned,0.0,18,Female,City83,Gift Card,Express,7.11,0,0.5219080146427691,High
ORD00000101,PROD00000101,USER00000101,2024-05-01,2024-08-20,Books,169.93,5,Wrong item,Returned,111.0,40,Male,City40,Credit Card,Next-Day,27.73,1,0.5168506383454332,High
ORD00000102,PROD00000102,USER00000102,2023-09-21,,Books,146.37,4,No Return,Not Returned,0.0,23,Female,City66,Debit Card,Express,42.55,0,0.5263294390745701,High
ORD00000104,PROD00000104,USER00000104,2023-04-10,2023-10-24,Home,35.16,3,Defective,Returned,197.0,48,Female,City27,PayPal,Next-Day,3.9,1,0.5117755390501834,High
ORD00000108,PROD00000108,USER00000108,2024-10-17,,Books,466.62,3,No Return,Not Returned,0.0,24,Male,City83,Debit Card,Express,8.36,0,0.5128159742432816,High
ORD00000109,PROD00000109,USER00000109,2024-08-27,,Clothing,51.56,4,No Return,Not Returned,0.0,37,Male,City95,Credit Card,Express,44.74,0,0.5209522207869415,High
ORD00000110,PROD00000110,USER00000110,2024-05-31,,Toys,79.31,1,No Return,Not Returned,0.0,37,Female,City36,Gift Card,Next-Day,29.18,0,0.5135155016736671,High
ORD00000113,PROD00000113,USER00000113,2024-03-10,,Clothing,137.72,3,No Return,Not Returned,0.0,45,Male,City8,Debit Card,Standard,1.13,0,0.5110003795414009,High
ORD00000116,PROD00000116,USER00000116,2023-09-26,2024-07-15,Books,79.9,4,Defective,Returned,293.0,42,Female,City73,PayPal,Express,22.19,1,0.515710945781847,High
ORD00000120,PROD00000120,USER00000120,2024-08-08,2024-10-13,Books,245.44,5,Changed mind,Returned,66.0,29,Female,City34,PayPal,Standard,25.44,1,0.5212343259051389,High
ORD00000121,PROD00000121,USER00000121,2023-09-06,,Toys,116.2,2,No Return,Not Returned,0.0,37,Male,City69,Gift Card,Next-Day,48.36,0,0.5144476700769345,High
ORD00000128,PROD00000128,USER00000128,2023-12-01,,Clothing,170.05,2,No Return,Not Returned,0.0,23,Male,City56,Debit Card,Express,35.55,0,0.5212033887400815,High
ORD00000129,PROD00000129,USER00000129,2024-04-09,,Toys,314.35,3,No Return,Not Returned,0.0,22,Male,City3,Credit Card,Standard,15.81,0,0.5191460023922801,High
